t(s),Flux surface 1: solute,Flux surface 2: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 8,Total 3 volume 7,Total 4 volume 6,Total 5 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
5752522.5554808,3642942249933528.5,-0.0004189810312571404,6.021684510132193e+20,2.1167577621317734e+19,7.783473359398088e+17,5.057769068482125e+22,2.575663914361964e+18,1189499046015574.0,13307184317550.807,7.6210472515806e+19,5.118243479974874e+22,2.116876712036372e+19,7.698883315892976e+19
5809706.618983417,3575296324922103.5,-0.0004927264264033858,6.076403744893769e+20,2.8627004472347628e+19,1.2272194305502036e+18,5.072424552761228e+22,2.5756640408262446e+18,1611065556158927.0,21000463184461.23,1.2070650565960344e+20,5.1334461566142586e+22,2.86286155379038e+19,1.2193374609061695e+20
5878327.495186558,3467812541832472.5,-0.0006014033576542238,6.136156994982119e+20,3.5126422996868665e+19,1.8301160598980908e+18,5.088845856884031e+22,2.575664241767532e+18,1980249508745581.5,31363393911658.96,1.8135831183212377e+20,5.150464993258019e+22,3.512840324637745e+19,1.8318845925541623e+20
5960672.546630327,3300695128047625.5,-0.0007702903463773131,6.198292785003401e+20,4.076937831046276e+19,2.5855971679738624e+18,5.10702885664675e+22,2.5756645541940895e+18,2302101867640259.5,44392671055452.734,2.5868735380983333e+20,5.169269350952199e+22,4.077168041233042e+19,2.612729953704779e+20
6059486.60836285,3064000575565513.0,-0.001054878247594234,6.261835917006775e+20,4.5802806406637715e+19,3.496651755038599e+18,5.126568714210098e+22,2.5756649966953354e+18,2590101778259250.5,60162545718577.33,3.53728706226812e+20,5.189444639879838e+22,4.580539650841595e+19,3.572254181443953e+20
6178063.482441877,2765674329022661.0,-0.0016466053119505702,6.325797667553474e+20,5.042889067313338e+19,4.57074598493088e+18,5.1467156676602166e+22,2.575665554417234e+18,2855416916740547.0,78826866222751.62,4.6807796495115295e+20,5.2102312108911885e+22,5.043174609005008e+19,4.726487897629504e+20
6320355.73133671,2429560785359487.0,-0.005221824169572783,6.388553448719846e+20,5.477519550887633e+19,5.818389001273957e+18,5.166524481930874e+22,2.5756661827826043e+18,3105123578083338.0,100595779020356.86,6.037965043754208e+20,5.230667583036354e+22,5.4778300632454595e+19,6.09614993972474e+20
6491106.43001051,2086360656689696.8,-0.09935153663849762,6.448004797367577e+20,5.890236206868067e+19,7.251197353376492e+18,5.185048802113412e+22,2.575666824396366e+18,3342578106099399.0,125703584574440.38,7.632633307507877e+20,5.2497864167695235e+22,5.8905704646786744e+19,7.705146538077458e+20
6696007.268419069,1764212559570725.5,-2.87955398911702,6.502085630155358e+20,6.282252106870296e+19,8.879948382934337e+18,5.201523294469998e+22,2.5756674266532813e+18,3568417462338887.0,154375988409606.5,9.490171798878239e+20,5.266801717514207e+22,6.282608948616531e+19,9.578972826467484e+20
6941888.2745093405,1482770791679917.5,-66.37991390146374,6.549292661761678e+20,6.652222664932363e+19,1.071315544119476e+19,5.215490928934218e+22,2.57566795280958e+18,3781833718989736.5,186805817636455.53,1.1636392562916679e+21,5.281241422347109e+22,6.652600848304255e+19,1.1743525985386824e+21
7236945.481817666,1251194214407445.2,-1150.1055932874422,6.589026123712497e+20,6.998418343999178e+19,1.275657694704936e+19,5.226849043643464e+22,2.57566838574274e+18,3981795775349559.0,223144366410578.56,1.4097197138756384e+21,5.292996871719169e+22,6.998816523576722e+19,1.422476513967058e+21
7591014.130587657,1069144949431116.1,-15072.092034357776,6.621627706474377e+20,7.320168092749221e+19,1.5013672640072567e+19,5.235807562953406e+22,2.575668726084428e+18,4167869583000138.0,263508845291140.6,1.6899160994230965e+21,5.302281406890755e+22,7.32058487970752e+19,1.7049300355720217e+21
8015896.509111646,929713753885252.0,-151769.19680247098,6.648135883815715e+20,7.618311115816806e+19,1.7486602259185254e+19,5.242779802534818e+22,2.575668986751498e+18,4340481700098363.5,307999255067244.7,2.007071663346855e+21,5.309518728271653e+22,7.61874516398682e+19,2.024558573605292e+21
8525755.363340432,823043490696012.2,-1195213.0042455322,6.669897782105919e+20,7.894853026516779e+19,2.0177197557587567e+19,5.248249354303014e+22,2.5756691861718984e+18,4500730982510529.5,356715056344702.0,2.3643418862384935e+21,5.315205899042695e+22,7.895303099615017e+19,2.3845194405111404e+21
9137585.988414977,739427074771558.9,-7492588.660248375,6.688210607647161e+20,8.152274466025388e+19,2.3087487310115377e+19,5.252659581201584e+22,2.5756693424930575e+18,4649999056789659.0,409764370461971.9,2.765286944062274e+21,5.3197992542122965e+22,8.152739465931062e+19,2.7883748411367505e+21
9871782.73850443,671122377656238.1,-38031113.44942078,6.704105812787706e+20,8.392908495402602e+19,2.621967113790526e+19,5.256353083269201e+22,2.5756694701889075e+18,4789595666826013.0,467263745097290.4,3.2139150982718103e+21,5.323651708344105e+22,8.393387454969287e+19,3.240135236673464e+21
10752818.838611774,612840012173083.8,-158855624.71486804,6.718292378297907e+20,8.618600089312844e+19,2.9575712110590382e+19,5.2595611216454655e+22,2.575669579147977e+18,4920561893131141.0,529331215479124.9,3.714688372355397e+21,5.327001612386371e+22,8.61909214550217e+19,3.7442646137972007e+21
11810062.158740586,561369701149034.7,-554484619.5908659,6.731206360733556e+20,8.830648863178559e+19,3.3156821087676723e+19,5.262424318232795e+22,2.5756696753718886e+18,5043634026927053.0,596077248541498.8,4.27251404548196e+21,5.32999394880767e+22,8.831153226581269e+19,4.3056714626468843e+21
13078754.14289516,514909136116104.4,-1641024893.5674825,6.743097977190705e+20,9.029920511973325e+19,3.6963048491432575e+19,5.26502287686436e+22,2.5756697622300646e+18,5159304303439724.0,667597287974424.4,4.892742326275752e+21,5.332711423612495e+22,9.030436442403656e+19,4.929706042364483e+21
14601184.52388065,472467636195657.1,-4175095561.3034687,6.754109504605314e+20,9.217005225916932e+19,4.099308415419157e+19,5.267402300608039e+22,2.575669841574585e+18,5267909556469994.0,743967729042428.9,5.581180060591236e+21,5.33520096263825e+22,9.217532016872592e+19,5.622173888713148e+21
16428100.981063236,433472254357188.8,-9251674630.93775,6.764327389616116e+20,9.392351219507462e+19,4.524429099602333e+19,5.269590141708123e+22,2.5756699144765763e+18,5369706601269396.0,825245919929118.5,6.3441211638715e+21,5.3374909825957224e+22,9.3928881901676e+19,6.389366280113451e+21
18620400.72968234,397552771079888.75,-18078194490.30254,6.773811176270303e+20,9.556352782697243e+19,4.971299957751831e+19,5.271605128503808e+22,2.5756699816281656e+18,5464922194261500.0,911474851825701.4,7.1883902249859e+21,5.3396008072646696e+22,9.556899274916684e+19,7.238104136038271e+21
21251160.428025268,364437853273253.1,-31517511694.691883,6.782607773700065e+20,9.709400369012151e+19,5.4395150131549405e+19,5.273461604795768e+22,2.5756700435366103e+18,5553781547818066.0,1002694259770881.9,8.121394919854911e+21,5.34154524953712e+22,9.709955747166919e+19,8.175791072680706e+21
24000000.0,337122194504079.4,-47203929569.07451,6.789897028703241e+20,9.836798994844598e+19,5.871976661701492e+19,5.274991494465104e+22,2.575670094603322e+18,5627751232026979.0,1087702135172807.6,9.026379563311743e+21,5.343148031761597e+22,9.837361769967806e+19,9.085100417630876e+21
